PROVIDER,CITY,COUNTRY
CENTRE MEDICAL SAINTE BERNADEE SARL,"GUIGLO,QUARTIER RESIDENTIEL,PRES DE LA CEI, FACE RESIDENCE FAMILIALE D  HUBERT OULAI",CÔTE D'IVOIRE
CENTRE MEDICAL SAINTE HELENE / SINFRA,"SINFRA, QUARTIER RESIDENTIEL",CÔTE D'IVOIRE
CENTRE MEDICAL SAINTE LOUISE,"PLATEAU,RUE DU COMMERCE, IMM NASAR ESC B, 1ER ETAGE",CÔTE D'IVOIRE
CENTRE MEDICAL SAREPTA,"A L ANCIENNE MAIRIE DE DABOU, AU CENTRE VILLE EN FACE DU JARDIN PUBLIC",CÔTE D'IVOIRE
CENTRE MEDICAL SILOE,"GRAND BASSAM ,QUARTIER IMPERIAL EXTENSION ",CÔTE D'IVOIRE
CENTRE MEDICAL SMGL,BD VGE EN FACE DE SOLIBRA,CÔTE D'IVOIRE
CENTRE MEDICAL SPECIALISE KREB S,II PLATEAUX VALLON,CÔTE D'IVOIRE
CENTRE MEDICAL ST JOSEPH COEUR ET VAISSEAUX,"COCODY, CITE DES ARTS",CÔTE D'IVOIRE
CENTRE MEDICAL ST JOSEPH DE TOUIH,"SAN-PEDRO, TOUIH S/P GABIADJI, QUARTIER SODEFOR",CÔTE D'IVOIRE
CENTRE MEDICAL ST SAUVEUR MISERICORDIEUX,YOPOUGON ANCIEN BEL AIR,CÔTE D'IVOIRE
CENTRE MEDICAL STE FAMILLE DE GRAND BASSAM,A MOCKEVILLE A 200M DU CARREFOUR CITYDIA,CÔTE D'IVOIRE
CENTRE MEDICAL TABITHA,"TOUMODI, QUARTIER RESIDENTIEL",CÔTE D'IVOIRE
CENTRE MEDICAL THEMIS,"ANGRE 9EME TRANCHE NON LOIN DE LA CNPS, IMMEUBLE SAINTE JUSTINE",CÔTE D'IVOIRE
CENTRE MEDICO SOCIAL- IVOIRE SERVICE,MEAGUI,CÔTE D'IVOIRE
CENTRE MEDICO-CHIRURGICAL DE LA CLEMENCE RAHMA,IMMEUBLE FONDATION HADJA TENIN COULIBALY  A ABOBO ROUTE EXPRESS ABOBO- ANYAMA,CÔTE D'IVOIRE
CENTRE MEDICO-CHIRURGICAL FRANCE-IVOIRE,BVD MARSEILLE A 100M HOTEL  KLAFO,CÔTE D'IVOIRE
CENTRE MEDICO-CHIRURGICAL LA SAINTE TRINITE DE SOUBRE,SOUBRE  DERRIERE ANCIEN MEDICO-SCOLAIRE,CÔTE D'IVOIRE
CENTRE MEDICO-CHIRURGICAL TREICHVILLE,TREICHVILLE AVENUE 3- RUE 5,CÔTE D'IVOIRE
CENTRE MEDICO-SOCIAL BETHESDA,A RENSEIGNER,CÔTE D'IVOIRE
CLIN. INT. SAINT JEAN DE DIEU,A RENSEIGNER,CÔTE D'IVOIRE
CLINIQUE ALOES,"DABOU,BOUAKE GARE,PRES DE LA STATION SHELL",CÔTE D'IVOIRE
CLINIQUE AMERICAINE D ABIDJAN,ANGRE 9E TRANCHE DERRIÈRE LA CNPS,CÔTE D'IVOIRE
CLINIQUE BETHANIE,"KORHOGO, QUARTIER COMMERCE EN FACE DE LA COOPEC",CÔTE D'IVOIRE
CLINIQUE CENTRALE ABENGOUROU,QUARTIER COMMERCE EN FACE DE LA BICICI,CÔTE D'IVOIRE
CLINIQUE CENTRALE DE SAN PEDRO,QUARTIER CITE PORO,CÔTE D'IVOIRE
CLINIQUE CMIDA,MARCORY VGE ENTRE MOOV ET KOZ,CÔTE D'IVOIRE
CAUSEX (CLINIQUE D ANDROLOGIE-D UROLOGIE ET DE SEXOLOGIE CI),"ANGRE, 7E TRANCHE",CÔTE D'IVOIRE
CLINIQUE DE COCODY,"COCODY CITEE DES ARTS, ENTRE LA BICICI ET LA PHARMACIE CITE DES ARTS",CÔTE D'IVOIRE
CLINIQUE DU FROMAGER,QUARTIER GARAHIO,CÔTE D'IVOIRE
CLINIQUE EMMANUEL / YAMOUSSOUKRO,"QUARTIER ASSADOU NON LOIN DU 100 LGTS FILLE, ROUTE IVOSEP",CÔTE D'IVOIRE
CLINIQUE ESPOIR DE PAILLET,"ADJAME, PAILLET EXTENSION, ROUTE DE LA MAISON BLANCHE",CÔTE D'IVOIRE
CLINIQUE HOTEL MEDICAL MARIA,"YOPOUGON TOIT ROUGE, FACE MAIRIE ANNEXE.",CÔTE D'IVOIRE
CLINIQUE IRYS,KOUMASSI PRODOMO- BVD DU CAMEROUN IMM PHARMACIE MESANO,CÔTE D'IVOIRE
CLINIQUE LA GRANDE PROVIDENCE DE HIRE,A RENSEIGNER,CÔTE D'IVOIRE
CLINIQUE LA GUARDIA,"YOPOUGON, PORT BOUËT II AU CARREFOUR CHU, NON LOIN DU CHU DE YOPOUGON",CÔTE D'IVOIRE
CLINIQUE LA PROVIDENCE-SARL,"COCODY NON LOIN DU LYCEE TECHNIQUE, 16 RUE DU LYCEE TECHNIQUE ",CÔTE D'IVOIRE
CLINIQUE LA ROCHELLE,"PLATEAU RUE DU COMMERCE, AVENUE A6 GLE DE GAULLE RESIDENCE  NABIL 1ER ETAGE",CÔTE D'IVOIRE
CLINIQUE L ANTILOPE,EN FACE MARCHE DE TAZIBOUO,CÔTE D'IVOIRE
CLINIQUE LE GHERY / GAGNOA,"QUARTIER ST GEORGES, EN FACE DE L IMM BAMBA",CÔTE D'IVOIRE
CLINIQUE LE ROCHER,IIPLATEAUX SOCOCE(DERRIERE) A 100M DE LA STATION TOTAL RUE PAVEE,CÔTE D'IVOIRE
CLINIQUE LES ARCADES,"ZONE 4 BIETRY, NON LOIN DE LA PHARMACIE  PERUVIA",CÔTE D'IVOIRE
CLINIQUE MANZAN,"RIVIERA PALMERAIE, ABATTA AU SEIN DE LA CITE LAURIER",CÔTE D'IVOIRE
CLINIQUE MED CARE INTER,A RENSEIGNER,CÔTE D'IVOIRE
CLINIQUE MEDICALE ADJAME LIBERTE,"ADJAME, LIBERTE",CÔTE D'IVOIRE
CLINIQUE MEDICALE AHISSA,"DIVO, ROUTE HIRE PETIT MARCHE DE KONANKRO",CÔTE D'IVOIRE
CLINIQUE MEDICALE ANDRE DUPUY,YOPOUGON SIDECI A PROXIMITE DE L EX CINEMA SAGUIDIBA,CÔTE D'IVOIRE
CLINIQUE MEDICALE BEGNANKO SARLU,QUARTIER LAC SONOUKO2 CARREFOUR CELESTE,CÔTE D'IVOIRE
CLINIQUE MEDICALE CARLY,RESIDENCE BLUE CUBE-1ER ETAGE-(FACE ENTREE HOTEL MARLY)- BVD MARSEILLE,CÔTE D'IVOIRE
CLINIQUE MEDICALE CHAPELET D ABIDJAN,"RIVIERA FAYA, PRES DU CLUB HOUSE, BVD EPHRATA DERRIERE GENIE 2000",CÔTE D'IVOIRE
CLINIQUE MEDICALE COEUR SACRE,"ANGRE, 7E TRANCHE NON LOIN DE LA CIRAD",CÔTE D'IVOIRE
CLINIQUE MEDICALE DANGA,"COCODY DANGA, RUE DES JASMINS, LOT N°26 NON LOIN DE L AMBASSADE DE SUISSE",CÔTE D'IVOIRE
CLINIQUE MEDICALE D ANGRE,"COCODY ANGRE, TERMINUS DES BUS 81-82 NON LOIN DE LA COOPEC",CÔTE D'IVOIRE
CLINIQUE MEDICALE DE BOUAKE,BOUAKE DERRIERE LA RTI AXE FROMAGER,CÔTE D'IVOIRE
CLINIQUE MEDICALE DE DUEKOUE,AU CARREFOUR EN BORDURE DE ROUTE,CÔTE D'IVOIRE
CLINIQUE MEDICALE EMERAUDES ST PADRE PIO,"RIVIERA PALMERAIE, ROUTE ABATTA IMMEUBLE SALIMA",CÔTE D'IVOIRE
CLINIQUE MEDICALE ENERGY,QUARTIER ENERGIE PRES DE LA SOUS PREFECTURE,CÔTE D'IVOIRE
CLINIQUE MEDICALE ESPERANCE TOUMODI SARL,"TOUMODI, AXE DIMBOKRO EN FACE DE LA MAISON DU MINISTRE",CÔTE D'IVOIRE
CLINIQUE MEDICALE EVE,RIVIERA PALMERAIE 9E TRANCHE SIPIM TUILERIES,CÔTE D'IVOIRE
CLINIQUE MEDICALE GABRIEL GARE,"YOPOUGON, GABRIEL GARE",CÔTE D'IVOIRE
CLINIQUE MEDICALE GRACE DIVINE / DALOA,"DALOA, QUARTIER BELLEVILLE",CÔTE D'IVOIRE
CLINIQUE MEDICALE GYPEMED,COCODY IIPLATEAUX VALLONS-AVENUE BOGA DOUDOU-IMMEUBLE LES DUNES,CÔTE D'IVOIRE
CLINIQUE MEDICALE JANICK,RIVIERA PALMERAIE-LOT N°2 ILOT 1,CÔTE D'IVOIRE
CLINIQUE MEDICALE LA CHRYSALIDE,"YOPOUGON PRES DE LA PH TOIT ROUGE ,NON LOIN DE LA BAE",CÔTE D'IVOIRE
CLINIQUE MEDICALE LA COLOMBE,IIPLATEAUX 7E TRANCHE NON LOIN DU CAFE DE VERSAILLE,CÔTE D'IVOIRE
CLINIQUE MEDICALE LA PAIX DE DAOUKRO,"DAOUKRO, QUARTIER RESIDENTIEL EXTENSION",CÔTE D'IVOIRE
CLINIQUE MEDICALE LA VIERGE DES NOCES,"MARCORY, BVD LORRAINE,FACE HOTEL HAMANIEH",CÔTE D'IVOIRE
CLINIQUE MEDICALE LATRILLE,"COCODY II PLATEAUX BVD LATRILLE A 50M AU FEU DE BMW,VILLA 448",CÔTE D'IVOIRE
CLINIQUE MEDICALE LE GRAND CENTRE,YOPOUGON CITE EECI/CIE ,CÔTE D'IVOIRE
CLINIQUE MEDICALE LES BEATITUDES,COCODY ECOLE DE LA GENDARMERIE QUARTIER DOMINICAIN,CÔTE D'IVOIRE
CLINIQUE MEDICALE LES DRE,"RIVIERA PALMERAIE, CITE DU PAA NON LOIN DU ROND POINT DES ROSIERS PROGRAMMES 4",CÔTE D'IVOIRE
CLINIQUE MEDICALE LES JASMINS,COCODY BVD MITTERAND,CÔTE D'IVOIRE
CLINIQUE MEDICALE LES OLIVIERS,"YOPOUGON NOUVEAU BUREAU, NON LOIN DU SAPEUR POMPIER",CÔTE D'IVOIRE
CLINIQUE MEDICALE LES PERLES,OUME QUARTIER RESIDENTIEL FACE A LA PREFECTURE,CÔTE D'IVOIRE
CLINIQUE MEDICALE LIFE,ANGRE GESTOCI A 100M DES CITES EQUINOXE,CÔTE D'IVOIRE
CLINIQUE MEDICALE L OASIS DU SINAI,"BONOUA, QUARTIER KOUMASSI EXT",CÔTE D'IVOIRE
CLINIQUE MEDICALE MEDITEX SARL,"MARCORY, STE THERESE EN FACE DE LA STATION CORLAY",CÔTE D'IVOIRE
CLINIQUE MEDICALE MONT CARMEL,YOPOUGON ANANERAIRE NON LOIN DU CARREFOUR OASIS,CÔTE D'IVOIRE
CLINIQUE MEDICALE NANAN YAMOUSSO SARL,"TREICHVILLE, FACE IMM NANAN YAMOUSSO AV 12-13",CÔTE D'IVOIRE
CLINIQUE MEDICALE NOTRE DAME DE L ESPERANCE,"RIVIERA PALMERAIE, FAYA GENIE 2000 NORD NON LOIN DE LA PAROISSE",CÔTE D'IVOIRE
CLINIQUE MEDICALE NOTRE DAME DE SAN PEDRO,SAN PEDRO QUARTIER CITE NITORO,CÔTE D'IVOIRE
CLINIQUE MEDICALE OASIS SANTE,"YOPOUGON KENEYA,BVD PRINCIPAL.",CÔTE D'IVOIRE
CLINIQUE MEDICALE ROCHE,"GARE DE BASSAM EN FACE DU MAGASIN SICOMEX,1ER ETAGE DE L IMMEUBLE ROCHE",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINT MATHIEU,"YOP NIANGON CITE VERTE,ILOT 5, LOT 29.",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINT MOISE,COCODY IIPLATEAUX LATRILLE 7E TRANCHE ANCIENNE SONATT,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE AGNES BONDOUKOU,"BONDOUKOU,QUARTIER LYCEE",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE ANNE MARIE-CSAM,DUEKOUE,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE FAMILLE /ABOISSO,"EN FACE DE LA MAIRIE D  ABOISSO,   ",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE JUSTINE,"ANGRE-DJIBI PROGRAMME 6,8E TRANCHE APRES SOLEIL 2",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE MARIE,YOPOUGON NIANGON A DROITE TERMINUS 39,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE PHILOMENE,RIVIERA II ROUTE ATTOBAN NON LOIN DU COLLEGE ANDRE MALREAUX,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE TRINITE DE LA VIE,"II PLATEAUX, RUE MAHOU DERRIERE LA BANQUE BICICI",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTES MYRIADES,"MARCORY RESIDENTIEL SUR LA VOIE D AVICENNES, 14 RUE DES CITRONNIERS",CÔTE D'IVOIRE
CLINIQUE MEDICALE SANITAS-PMA,"MARCORY, DERRIERE LA PHARMACIE DU MARCHE",CÔTE D'IVOIRE
CLINIQUE MEDICALE SOLIDARITE / DALOA,"AXE DALOA VAVOUA, CARREFOUR SODECI",CÔTE D'IVOIRE
CLINIQUE MEDICALE SOURCE DE VIE,QUARTIER EBOIKRO EN FACE DE LA MAIRIE DU COTE DE LA PHCIE SOKOURA,CÔTE D'IVOIRE
CLINIQUE MEDICALE SPECIALISEE (CMS),ENVIRON 200M APRES LA POLYCLINIQUE DES 2PLATEAUX,CÔTE D'IVOIRE
CLINIQUE MEDICALE SUNEM,"HIRE- ASSAYE 1, 10 VILLAS",CÔTE D'IVOIRE
CLINIQUE MEDICALE TRADE CENTER,"PLATEAU AVENUE NOGUES, IMM TRADE CENTER AU RH ",CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE DU STADE DE BOUAKE,"BOUAKE, QUARTIER AHOUGNASSOU- STADE",CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE KAKOUMANI,KATIOLA QUARTIER NAGNANKAHA,CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE LA GRACE DES LACS,"QUARTIER NZUESSI,DERRIERE LA GENDARMERIE",CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE LA SALPETRIERE,"IIPLATEAUX 7E TRANCHE, CARREFOUR EURO NON LOIN DU CAFE DE VERSAILLE",CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE L EMMANUEL,"QUARTIER BARDOT, ROUTE DU GD MARCHE",CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE NANAN,QUARTIER N GATTAKRO ENTRE BERNABE ET BAOULE,CÔTE D'IVOIRE
CLINIQUE MODERNE RAPHA,"ABENGOUROU, QUARTIER PLATEAU ",CÔTE D'IVOIRE
CLINIQUE NOTRE DAME DE L INCARNATION,RIVIERA PALMERAIE AU ROND POINT DE LA PALMERAIE 1ER CARREFOUR A DROITE,CÔTE D'IVOIRE
CLINIQUE NOTRE DAME DE LOURDES,NIANGON ENTRE CANAL ET GARAGE CIE,CÔTE D'IVOIRE
CLINIQUE NOTRE DAME DES VICTOIRES D ABATTA,RIVIERA ABATTA,CÔTE D'IVOIRE
CLINIQUE NOTRE DAME DU REFUGE,A RENSEIGNER,CÔTE D'IVOIRE
CLINIQUE NOUVELLE ESPERANCE,"COCODY RIVIERA III, DERRIERE LA GRANDE MOSQUEE DE LA RIVIERA III ,NON LOIN DE LA PH RIVIERA III",CÔTE D'IVOIRE
CLINIQUE POLYMED,"MARCORY RESIDENTIEL, RUE DE LA PAIX NON LOIN DE LA BANQUE BOA ET DE LA STATION TOTALE A 200M DE LA PH DES LAGUNES",CÔTE D'IVOIRE
CLINIQUE SAINT ALBERT,RIVIERA BONOUMIN RUE I 128,CÔTE D'IVOIRE
CLINIQUE SAINT AUGUSTIN,A RENSEIGNER,CÔTE D'IVOIRE
CLINIQUE SAINT GABRIEL,"ANGRE SUR LE LATRILLE NON LOIN DE L OPERA, DANS LA COUR DE LA PHCIE SAINT GABRIEL",CÔTE D'IVOIRE
CLINIQUE SAINT GEORGES,II PLATEAUX-7E TRANCHE VILLA BIS,CÔTE D'IVOIRE
CLINIQUE SAINT JOSEPH / BONDOUKOU,BONDOUKOU DERRIERE LE STADE QUARTIER DONZOSOSO,CÔTE D'IVOIRE
CLINIQUE SAINT JOSEPH D ABIDJAN,"RIVIERA, CARREFOUR FAYA, ROUTE D AKOUEDO VILLAGE CITE ATCI",CÔTE D'IVOIRE
CLINIQUE SAINT LAURENT/ ADZOPE,ADZOPE QUARTIER HABITAT,CÔTE D'IVOIRE
CLINIQUE SAINT MICHEL / GONZAGUEVILLE,PORT BOUËT GONZAGUEVILLE,CÔTE D'IVOIRE
CLINIQUE SAINT PIERRE LEGRAND,RIVIERA M POUTO QUARTIER SOL-BENI PRES DE LA CITE HARRISTE,CÔTE D'IVOIRE
CLINIQUE SAINT RAPHAEL YOPOUGON MAROC,"YOPOUGON MAROC, CARREFOUR CANARI",CÔTE D'IVOIRE
CLINIQUE SAINTE JANE LEORA,"YOPOUGON ANANERAIE, ENTRE LE COLLEGE GUCHANROLAIN ET LE CARREFOUR SORBONNE",CÔTE D'IVOIRE
CLINIQUE SAINTE NANCY,"MARCORY RESIDENTIEL, 34 BVD ACHALME NON LOIN DE LA PHARMACIE DES LAGUNES A LA DESCENTE DU PONT DE GAULLE",CÔTE D'IVOIRE
CLINIQUE SAINTE RITA DE CASCIA,"YOPOUGON CITE NOVALIM, NON  LOIN  DU CARREFOUR AMONDJI",CÔTE D'IVOIRE
CLINIQUE VITALIA SARL,"COCODY, RVIERA PALMERAIE",CÔTE D'IVOIRE
CSF MEDICAL CENTER,"COCODY ANGRE BESIKOI, NON LOIN DU CHU D ANGRE, 200M DU CARREFOUR DE LA BASE CIE",CÔTE D'IVOIRE
ERWIN & KEREN CIE-CM MERE MARIE,"IIPLATEAUX SIDECI, FACE ENTREE SUD SOCOCE",CÔTE D'IVOIRE
ESPACE MEDICAL ANADOR,"ABOBO, QUARTIER ANADOR COCOTERAIE",CÔTE D'IVOIRE
ESPACE MEDICAL CONCORDE,"ABIDJAN SITUE A LA RIVIERA GOLF FACE A LA BICICI, IMMEUBLE BUNKER, 1ER ETAGE
05 05 18 64 37 / 05 05 05 72 98",CÔTE D'IVOIRE
ESPACE MEDICAL JADE,COCODY LA VIE EN FACE DE SODEFOR,CÔTE D'IVOIRE
ESPACE MEDICAL KAYAF,"ISSIA, MIRA EXTENSION EN FACE D UNICAFE ROUTE DE GAGNOA",CÔTE D'IVOIRE
ESPACE MEDICAL LA CITADELLE,NOIN LOIN DU LYCEE TECHNIQUE DANS L IMMEUBLE DE LA BANQUE NSIA,CÔTE D'IVOIRE
ESPACE MEDICAL LA ROTONDE,"PLATEAU, IMM LES AMBASSADES 2E ETAGE",CÔTE D'IVOIRE
ESPACE MEDICAL LE PHENIX,YOP KOUTE PAS LOIN DU TERMINUS 40,CÔTE D'IVOIRE
ESPACE MEDICAL LES OLIVIERS SARL DE N ZIANOUA,"TIASSALE, N ZIANOUA ROUTE SCB A 50 M DU PARKING AUTOROUTE",CÔTE D'IVOIRE
ESPACE MEDICAL LES RUCHES PLUS,"BD DU CAMEROUN, RESIDENCE AGOUTI V4",CÔTE D'IVOIRE
ESPACE MEDICAL PASTEUR,QUARTIER CITE PORO,CÔTE D'IVOIRE
ESPACE MEDICAL SAINT GEORGES,MEAGUI SUR L AXE CENTRALE NON LOIN DE LA PREFECTURE,CÔTE D'IVOIRE
ESPACE MEDICAL SAINT SAUVEUR,YOP NIANGON NORD A COTE DE L EGLISE SAINTE RITA DE CASCIA,CÔTE D'IVOIRE
ESPACE MEDICAL ST PAUL,PLATEAU ENTRE L IMPRIMERIE NATIONALE ET LES FINANCES. IMM LE FROMAGER REZ DE CHAUSSEE,CÔTE D'IVOIRE
ESPACE MEDICAL YOPOUGON,"YOPOUGON PLACE FIGAYO, HALL COSMOS",CÔTE D'IVOIRE
ESPACE MEDICO SOCIAL LA PYRAMIDE,"YOPOUGON SELMER, EN FACE DU COMPLEXE SPORTIF JESSE JACKSON",CÔTE D'IVOIRE
ESPACE VERITABLE SANTE SAN-PEDRO,A RENSEIGNER,CÔTE D'IVOIRE
GRAND CENTRE MEDICAL DE LA ROUTE D AKEIKOI,"ABOBO A 50M DE LA PHARMACIE DE LA ROUTE D AKEIKOI, AU CARREFOUR COLOMBE",CÔTE D'IVOIRE
GRANDE CLINIQUE DU DOKUI,"FACE CIE, STATION TOTALE",CÔTE D'IVOIRE
GRANDE CLINIQUE MEDICALE LE SPHINX,"ROUTE N DOTRE PRES DU CARREFOUR DIALLO, ENTRE PARIS BAGUETTE ET LA STATION SHELL",CÔTE D'IVOIRE
CENTRE MEDICAL GROUPE DR FOFANA,"CENTRE VILLE, IMM. PHARMACIE DES FRONTIERE",CÔTE D'IVOIRE
GROUPE MEDICAL CONSULTING BOZOUMA,RIVIERA BONOUMIN,CÔTE D'IVOIRE
GROUPE MEDICAL CÔTE D IVOIRE TECHNO,VRIDI APRES LE PONT CARREFOUR SANIA,CÔTE D'IVOIRE
GROUPE MEDICAL HANNIEL,"DALOA, QUARTIER LOBIA LES AMBASSADES, CARREFOUR DU FEU DE LA PHCIE LOBIA,400M A DROITE",CÔTE D'IVOIRE
GROUPE MEDICAL PROMETHEE,YOPOUGON- ANANERAIE,CÔTE D'IVOIRE
GROUPE MEDICAL SAINT - SAUVEUR / YAMOUSSOUKRO,QUARTIER HABITAT NON LOIN DE L HOTEL LE REPOS,CÔTE D'IVOIRE
GROUPE MEDICAL SAINTE FAMILLE SARL,QUARTIER COMMERCE,CÔTE D'IVOIRE
GROUPE MEDICAL ZOE,RIVIERA IV EN FACE DE LA MOSQUEE DE LA CIAD,CÔTE D'IVOIRE
HEMODIALYSE DEUX PLATEAUX,EN FACE DE LA POLYCLINIQUE DES 2 PLATEAUX,CÔTE D'IVOIRE
HOME MEDICAL SERVICE," PLATEAU, IMM MATCA 1ER ETAGE AV YVES LAMBLIN",CÔTE D'IVOIRE
HOPE MEDICAL CLINIC,"MARCORY REMBLAIS, CARREFOUR APRES LE CHATELET",CÔTE D'IVOIRE
HOPE ROAD HOSPITAL,"ADJAME, WILLIAMSVILLE CARREFOUR II PLATEAUX AGBAN",CÔTE D'IVOIRE
HOPITAL BAPTISTE DE FERKESSEDOUGOU,QUARTIER DOUANE,CÔTE D'IVOIRE
HOPITAL CATHOLIQUE SAINT JOSEPH MOSCATI,"YAMOUSSOUKRO, FACE A LA BASILIQUE NOTRE DAME DE LA PAIX",CÔTE D'IVOIRE
HOPITAL MILITAIRE D ABIDJAN,ABOBO ROUTE DU ZOO,CÔTE D'IVOIRE
HOPITAL SAINT JEAN-BAPTISTE,"BODO, CARREFOUR TIASSALE",CÔTE D'IVOIRE
HOTEL DE LA SANTE SAINTE HENRIETTE,"II PLATEAUX, ANGRE 8E TRANCHE",CÔTE D'IVOIRE
HOTEL MEDICAL NOTRE DAME DE LA PAIX,"ABENGOUROU, QUARTIER PLATEAU, CARREFOUR CAFOP",CÔTE D'IVOIRE
INDENIE HOLDING NOUVELLE CLINIQUE SOPHIA DE L INDENIE,"QUARTIER COMMERCE ,EN FACE DE LA PH INDENIE NON LOIN DE LA GRANDE MOSQUEE",CÔTE D'IVOIRE
INSTITUT COEUR DE GRACE,COCODY DANGA; RUE PILOT,CÔTE D'IVOIRE
INSTITUT DE CARDIOLOGIE D ABIDJAN,"TREICHVILLE A 200M DE LA GARE DE BASSAM, PRES DE L INSTITUT NATIONAL D HYGIENE PUBLIQUE AU SEIN DU CHU DE TREICHVILLE",CÔTE D'IVOIRE
KAPP SANTE CENTRE MEDICAL,RIVIERA GOLF A PROXIMITE DU SUPER MARCHE LEADER PRICE,CÔTE D'IVOIRE
LA GOSPA INTERN MED CENTER,"COCODY DANGA FACE A L ECOLE LE NID DE COCODY, NON LOIN DE LA SODEMI",CÔTE D'IVOIRE
LES PARACLINIQUES DES OLIVIERS SARL / GAGNOA,"GAGNOA, QUARTIER COMMERCE",CÔTE D'IVOIRE
MIKADE / CENTRE MEDICAL,RIVIERA FAYAT,CÔTE D'IVOIRE
NOUVELLE CLINIQUE DES ROCHERS,"QUARTIER NITORO, RUE DES ROCHERS",CÔTE D'IVOIRE
NOUVELLE CLINIQUE MEDICALE ST JOSEPH LE BATISSEUR,ADZOPE QUARTIER SOGEPHIA PRES HOTEL SEKEDES,CÔTE D'IVOIRE
NOUVELLE CLINIQUE RHEMA,"BVD LATRILLE, CARREFOUR FARANDOLE POLYCLINIQUE DES IIPLATEAUX 2E CARREFOUR A DROITE",CÔTE D'IVOIRE
NOUVELLE CLINIQUE SAINT SAUVEUR (YOPOUGON),"ANANERAIE,CARREFOUR SORBONNE EN FACE DE L AGENCE SGBCI",CÔTE D'IVOIRE
NOUVELLE CLINIQUE SAINTE DIANE,RIVIERA ABATTA EN FACE MONDIAL BETON,CÔTE D'IVOIRE
NOUVELLE CLINIQUE STE VENISE,A RENSEIGNER,CÔTE D'IVOIRE
NOUVELLE POLYCLINIQUE LES GRACES,"MARCORY ZONE 4, RUE MARCONI NON LOIN DE RMO PRES DE L EXTERNAT ST PAUL",CÔTE D'IVOIRE
NOVACARE,ABIDJAN PLATEAU AVENUE NOGUES IMMEUBLE BROADWAY CENTER,CÔTE D'IVOIRE
POLYCLINIQUE AVICENNES,"MARCORY RESIDENTIEL, NON LOIN DE LA PHARMACIE DES LAGUNES APRES VIGASSISTANCE",CÔTE D'IVOIRE
POLYCLINIQUE CENTRALE ABOBO,"ABOBO ROUTE ZOO , FACE A LA PHARMACIE D ABOBOTE",CÔTE D'IVOIRE
POLYCLINIQUE DE YOPOUGON,YOPOUGON CARREFOUR KOWEIT ,CÔTE D'IVOIRE
POLYCLINIQUE DES 2 PLATEAUX,BVD LATRILLE APRES FARANDOLE,CÔTE D'IVOIRE
POLYCLINIQUE DIVINES GRACES,RIVIERA PALMERAIE NON LOIN DU GROUPE SCOLAIRE LA PALMERAIE,CÔTE D'IVOIRE
POLYCLINIQUE FARAH,"MARCORY RESIDENTIEL, RUE S214 AZOBES ANGLE CARREFOUR GRPE LOKO GRAND BLOC",CÔTE D'IVOIRE
POLYCLINIQUE GMP ESPACE MUTUALISTE PLATEAU,A RENSEIGNER,CÔTE D'IVOIRE
POLYCLINIQUE HOTEL DIEU / ABIDJAN,"BD DE MARSEILLE, JUSTE APRES LE PALAIS DES SPORTS EN FACE DE LA PH DU PALAIS DES SPORTS",CÔTE D'IVOIRE
POLYCLINIQUE INTERNATIONALE DE L INDENIE,"4, BOULEVARD DE L INDENIE",CÔTE D'IVOIRE
POLYCLINIQUE KENNEDY BOUAKE SARL LOCATION GERANCE,"BOUAKE, KENNEDY ",CÔTE D'IVOIRE
POLYCLINIQUE LA SISANGUE,QUARTIER COMMERCE,CÔTE D'IVOIRE
POLYCLINIQUE LE PANTHEON MEDICAL,"RIVIERA III ROUTE DU LYCEE FRANÇAIS , EN FACE DE LA PH ST PIERRE DES ROSEES",CÔTE D'IVOIRE
POLYCLINIQUE LES ETOILES,A RENSEIGNER,CÔTE D'IVOIRE
POLYCLINIQUE SACRE-COEUR ABIDJAN,RIVIERA BONOUMIN ROUTE D ATTOBAN,CÔTE D'IVOIRE
POLYCLINIQUE SAINTE FRATERNITE,A RENSEIGNER,CÔTE D'IVOIRE
POLYCLINIQUE STE MARIE DE LA NAWA,"SOUBRE QUARTIER MADOU SAHOUA, ROUTE YABAYO",CÔTE D'IVOIRE
S.A.C.M. FATIMA,ANGRE 7E TRANCHE VERS LE GLACIER LES OSCARS A 100M DE GAOU PRODUCTION,CÔTE D'IVOIRE
